count_point_id,direction_of_travel,year,count_date,hour,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
7717,W,2019,3/25/2019,7,6,London,145,Camden,A5201,Major,Gray's Inn Rd,LA Boundary,531300,182040,51.522023,-0.10887542,0.4,0.25,184,40,151,32,168,18,3,1,1,0,0,23,414
7717,E,2019,3/25/2019,9,6,London,145,Camden,A5201,Major,Gray's Inn Rd,LA Boundary,531300,182040,51.522023,-0.10887542,0.4,0.25,100,24,106,24,71,7,3,2,0,0,0,12,237
7717,E,2019,3/25/2019,17,6,London,145,Camden,A5201,Major,Gray's Inn Rd,LA Boundary,531300,182040,51.522023,-0.10887542,0.4,0.25,394,51,147,26,44,0,0,0,0,0,0,0,268
7717,W,2019,3/25/2019,9,6,London,145,Camden,A5201,Major,Gray's Inn Rd,LA Boundary,531300,182040,51.522023,-0.10887542,0.4,0.25,378,59,159,27,112,11,0,0,0,0,0,11,368
7717,W,2019,3/25/2019,10,6,London,145,Camden,A5201,Major,Gray's Inn Rd,LA Boundary,531300,182040,51.522023,-0.10887542,0.4,0.25,91,42,175,33,132,18,3,1,0,0,1,23,405
7717,W,2019,3/25/2019,18,6,London,145,Camden,A5201,Major,Gray's Inn Rd,LA Boundary,531300,182040,51.522023,-0.10887542,0.4,0.25,191,47,250,29,24,1,0,0,0,0,0,1,351
7717,W,2019,3/25/2019,8,6,London,145,Camden,A5201,Major,Gray's Inn Rd,LA Boundary,531300,182040,51.522023,-0.10887542,0.4,0.25,549,66,162,32,121,15,1,0,0,0,0,16,397
7717,W,2019,3/25/2019,13,6,London,145,Camden,A5201,Major,Gray's Inn Rd,LA Boundary,531300,182040,51.522023,-0.10887542,0.4,0.25,87,39,170,27,75,14,1,1,0,0,0,16,327
8469,N,2019,5/14/2019,10,6,London,145,Camden,A400,Major,A40,A5204,529700,181590,51.518349,-0.13208953,0.5,0.31,57,31,119,52,108,16,4,3,1,1,0,25,335
8469,N,2019,5/14/2019,14,6,London,145,Camden,A400,Major,A40,A5204,529700,181590,51.518349,-0.13208953,0.5,0.31,85,57,149,54,97,15,0,2,0,0,0,17,374
8469,N,2019,5/14/2019,13,6,London,145,Camden,A400,Major,A40,A5204,529700,181590,51.518349,-0.13208953,0.5,0.31,88,42,154,63,94,12,1,6,2,0,0,21,374
8469,S,2019,5/14/2019,9,6,London,145,Camden,A400,Major,A40,A5204,529700,181590,51.518349,-0.13208953,0.5,0.31,85,0,1,61,0,0,0,0,0,0,0,0,62
8469,S,2019,5/14/2019,15,6,London,145,Camden,A400,Major,A40,A5204,529700,181590,51.518349,-0.13208953,0.5,0.31,50,1,1,51,2,0,0,0,0,0,0,0,55
8469,S,2019,5/14/2019,17,6,London,145,Camden,A400,Major,A40,A5204,529700,181590,51.518349,-0.13208953,0.5,0.31,110,1,1,48,1,0,0,0,0,0,0,0,51
8469,N,2019,5/14/2019,9,6,London,145,Camden,A400,Major,A40,A5204,529700,181590,51.518349,-0.13208953,0.5,0.31,230,38,142,51,112,20,3,1,1,0,0,25,368
8469,N,2019,5/14/2019,8,6,London,145,Camden,A400,Major,A40,A5204,529700,181590,51.518349,-0.13208953,0.5,0.31,395,51,121,56,122,22,6,2,0,0,1,31,381
8469,S,2019,5/14/2019,12,6,London,145,Camden,A400,Major,A40,A5204,529700,181590,51.518349,-0.13208953,0.5,0.31,42,0,1,44,1,0,0,0,0,0,0,0,46
8469,S,2019,5/14/2019,7,6,London,145,Camden,A400,Major,A40,A5204,529700,181590,51.518349,-0.13208953,0.5,0.31,52,0,0,74,2,0,0,0,0,0,0,0,76
8469,S,2019,5/14/2019,14,6,London,145,Camden,A400,Major,A40,A5204,529700,181590,51.518349,-0.13208953,0.5,0.31,33,1,1,58,0,0,0,0,0,0,0,0,60
8469,S,2019,5/14/2019,18,6,London,145,Camden,A400,Major,A40,A5204,529700,181590,51.518349,-0.13208953,0.5,0.31,145,0,0,53,2,0,0,0,0,0,0,0,55
8469,N,2019,5/14/2019,7,6,London,145,Camden,A400,Major,A40,A5204,529700,181590,51.518349,-0.13208953,0.5,0.31,168,44,114,49,123,13,10,4,3,0,0,30,360
8469,N,2019,5/14/2019,18,6,London,145,Camden,A400,Major,A40,A5204,529700,181590,51.518349,-0.13208953,0.5,0.31,358,79,343,55,36,3,0,0,0,0,0,3,516
8469,S,2019,5/14/2019,11,6,London,145,Camden,A400,Major,A40,A5204,529700,181590,51.518349,-0.13208953,0.5,0.31,34,1,1,52,2,0,0,0,0,0,0,0,56
8469,N,2019,5/14/2019,11,6,London,145,Camden,A400,Major,A40,A5204,529700,181590,51.518349,-0.13208953,0.5,0.31,72,32,117,49,103,26,2,4,0,0,1,33,334
8469,N,2019,5/14/2019,15,6,London,145,Camden,A400,Major,A40,A5204,529700,181590,51.518349,-0.13208953,0.5,0.31,77,57,183,58,78,8,4,5,1,0,0,18,394
