local_authority_name,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,8/27/2020,-13,-11,,-46,-51,14
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,8/28/2020,-13,-8,,-40,-51,12
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,8/29/2020,-26,-16,,-29,-12,3
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,8/30/2020,-21,-13,,-23,-6,0
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,8/31/2020,4,-22,,-56,-75,16
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,9/1/2020,-7,-7,,-42,-50,12
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,9/2/2020,-12,-10,,-42,-48,13
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,9/3/2020,-18,-8,,-41,-47,13
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,9/4/2020,-19,-9,,-35,-46,11
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,9/5/2020,-25,-10,,-24,-10,3
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,9/6/2020,-23,-5,,-21,-6,2
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,9/7/2020,-12,-9,,-35,-48,10
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,9/8/2020,-14,-7,,-33,-47,11
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,9/9/2020,-16,-12,,-34,-45,11
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,9/10/2020,-15,-6,,-33,-44,10
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,9/11/2020,-18,-6,56,-31,-45,9
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,9/12/2020,-29,-12,51,-25,-7,3
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,9/13/2020,-28,-8,88,-22,-5,1
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,9/14/2020,-16,-10,54,-34,-41,9
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,9/15/2020,-19,-9,48,-33,-41,11
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,9/16/2020,-18,-12,45,-35,-41,11
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,9/17/2020,-18,-8,50,-35,-41,10
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,9/18/2020,-20,-10,50,-30,-41,9
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,9/19/2020,-28,-14,47,-26,-9,4
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,9/20/2020,-25,-10,83,-24,-6,2
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,9/21/2020,-17,-8,45,-33,-42,10
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,9/22/2020,-19,-9,42,-32,-41,10
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,9/23/2020,-22,-13,4,-36,-40,12
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,9/24/2020,-21,-6,4,-37,-40,12
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,9/25/2020,-24,-8,-3,-32,-40,11
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,9/26/2020,-28,-13,0,-31,-8,5
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,9/27/2020,-30,-10,12,-28,-8,4
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,9/28/2020,-14,-9,29,-34,-38,11
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,9/29/2020,-19,-10,9,-34,-39,12
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,9/30/2020,-18,-12,-1,-35,-39,12
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,10/1/2020,-17,-3,18,-36,-36,12
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,10/2/2020,-31,-15,-25,-34,-39,13
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,10/3/2020,-29,-9,-19,-30,-10,7
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,10/4/2020,-32,-18,-35,-32,-8,6
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,10/5/2020,-18,-8,7,-32,-38,11
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,10/6/2020,-20,-8,4,-33,-38,11
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,10/7/2020,-17,-7,18,-34,-36,11
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,10/8/2020,-22,-7,2,-36,-37,12
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,10/9/2020,-23,-8,10,-33,-37,11
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,10/10/2020,-27,-10,5,-24,-8,6
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,10/11/2020,-26,-9,40,-24,-6,4
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,10/12/2020,-21,-12,-1,-37,-37,11
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,10/13/2020,-26,-12,-24,-38,-37,12
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,10/14/2020,-19,-8,0,-36,-35,12
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,10/15/2020,-20,-4,-1,-36,-35,12
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,10/16/2020,-20,-5,6,-32,-34,10
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,10/17/2020,-31,-12,13,-34,-10,7
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,10/18/2020,-28,-7,36,-32,-9,6
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,10/19/2020,-21,-9,18,-36,-37,12
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,10/20/2020,-22,-7,20,-37,-37,12
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,10/21/2020,-29,-17,-23,-40,-37,14
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,10/22/2020,-20,-2,15,-37,-36,13
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,10/23/2020,-22,-6,13,-34,-39,13
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,10/24/2020,-30,-13,0,-33,-9,7
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,10/25/2020,-25,-8,16,-30,-8,5
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,10/26/2020,-14,-11,23,-43,-49,13
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,10/27/2020,-18,-10,-23,-45,-50,15
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,10/28/2020,-16,-8,8,-43,-49,14
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,10/29/2020,-19,-7,-22,-46,-49,16
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,10/30/2020,-19,-3,14,-38,-48,14
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,10/31/2020,-32,-7,-16,-32,-10,7
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,11/1/2020,-20,-2,10,-26,-5,5
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,11/2/2020,-6,2,-1,-32,-36,11
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,11/3/2020,-2,1,-9,-32,-36,11
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,11/4/2020,7,2,12,-30,-34,10
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,11/5/2020,-54,-12,-2,-46,-42,17
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,11/6/2020,-57,-12,10,-45,-43,19
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,11/7/2020,-63,-18,32,-50,-27,14
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,11/8/2020,-64,-22,43,-48,-29,11
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,11/9/2020,-49,-13,-2,-43,-43,16
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,11/10/2020,-49,-8,8,-44,-43,17
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,11/11/2020,-50,-12,1,-43,-43,17
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,11/12/2020,-49,-4,15,-45,-43,18
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,11/13/2020,-51,-7,9,-42,-43,18
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,11/14/2020,-61,-17,-27,-51,-30,14
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,11/15/2020,-62,-20,-1,-48,-29,11
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,11/16/2020,-49,-11,-7,-44,-44,16
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,11/17/2020,-49,-8,-1,-44,-44,17
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,11/18/2020,-48,-11,2,-44,-44,18
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,11/19/2020,-50,-6,-17,-46,-44,18
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,11/20/2020,-52,-7,-16,-43,-45,19
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,11/21/2020,-58,-12,9,-45,-26,13
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,11/22/2020,-57,-15,48,-45,-28,10
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,11/23/2020,-46,-8,-3,-45,-44,16
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,11/24/2020,-48,-6,-1,-44,-44,17
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,11/25/2020,-47,-12,-8,-45,-43,18
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,11/26/2020,-48,-4,2,-45,-43,18
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,11/27/2020,-48,-6,-4,-43,-44,18
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,11/28/2020,-56,-13,7,-43,-27,13
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,11/29/2020,-57,-16,20,-43,-27,10
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,11/30/2020,-41,-8,-11,-43,-42,16
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,12/1/2020,-44,-5,-2,-43,-42,16
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,12/2/2020,-19,-2,-8,-37,-37,14
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,12/3/2020,-25,-5,-28,-38,-39,15
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,12/4/2020,-24,2,-16,-34,-38,14
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,12/5/2020,-27,-1,4,-27,-12,8
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,12/6/2020,-27,-1,4,-27,-13,6
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,12/7/2020,-16,-3,-12,-38,-40,13
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,12/8/2020,-18,1,-10,-37,-38,14
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,12/9/2020,-20,-1,-12,-39,-39,14
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,12/10/2020,-21,1,-13,-40,-38,14
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,12/11/2020,-26,3,-6,-34,-39,14
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,12/12/2020,-31,-1,-10,-28,-13,8
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,12/13/2020,-34,-4,-31,-31,-14,7
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,12/14/2020,-17,0,-16,-36,-42,13
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,12/15/2020,-10,7,-6,-35,-42,13
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,12/16/2020,-31,-1,-11,-44,-44,17
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,12/17/2020,-30,9,8,-43,-45,17
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,12/18/2020,-35,5,-9,-42,-48,19
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,12/19/2020,-42,2,-9,-37,-19,11
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,12/20/2020,-61,-9,14,-44,-25,10
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,12/21/2020,-43,13,-21,-56,-60,21
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,12/22/2020,-42,16,-14,-56,-61,22
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,12/23/2020,-41,21,-19,-57,-64,24
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,12/24/2020,-45,20,11,-60,-72,26
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,12/25/2020,-95,-93,-24,-92,-90,35
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,12/26/2020,-86,-62,-20,-74,-60,19
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,12/27/2020,-68,-31,18,-58,-40,11
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,12/28/2020,-57,-24,17,-74,-82,30
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,12/29/2020,-51,-11,-2,-66,-73,28
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,12/30/2020,-51,-6,23,-65,-72,28
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,12/31/2020,-52,6,-5,-66,-73,28
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,1/1/2021,-83,-63,-7,-81,-87,36
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,1/2/2021,-70,-25,4,-62,-43,18
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,1/3/2021,-69,-29,0,-58,-33,12
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,1/4/2021,-56,-20,-41,-58,-56,22
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,1/5/2021,-61,-21,-45,-61,-56,24
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,1/6/2021,-60,-23,-11,-61,-56,24
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,1/7/2021,-60,-19,-9,-60,-57,25
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,1/8/2021,-64,-23,-18,-60,-56,25
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,1/9/2021,-68,-24,5,-55,-33,16
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,1/10/2021,-70,-30,2,-57,-32,13
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,1/11/2021,-57,-23,-11,-58,-55,22
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,1/12/2021,-60,-23,-25,-60,-57,23
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,1/13/2021,-63,-31,-43,-62,-57,24
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,1/14/2021,-64,-26,-48,-61,-58,25
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,1/15/2021,-62,-22,-9,-57,-57,24
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,1/16/2021,-70,-28,-35,-58,-36,17
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,1/17/2021,-66,-27,50,-54,-31,11
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,1/18/2021,-57,-25,-10,-59,-57,21
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,1/19/2021,-60,-24,-22,-60,-57,23
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,1/20/2021,-62,-29,-37,-62,-56,24
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,1/21/2021,-58,-19,1,-61,-56,23
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,1/22/2021,-60,-20,19,-57,-55,23
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,1/23/2021,-65,-23,2,-55,-31,15
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,1/24/2021,-71,-33,-23,-59,-32,12
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,1/25/2021,-56,-21,2,-58,-55,21
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,1/26/2021,-60,-23,-25,-60,-56,22
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,1/27/2021,-58,-24,-1,-58,-55,22
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,1/28/2021,-58,-16,-6,-57,-55,23
Havering,GB,United Kingdom,Greater London,London Borough of Havering,,GB-HAV,,ChIJ1bfreqq72EcRUGjsoi2uDgQ,1/29/2021,-59,-17,-3,-54,-55,23
